aX,aY,aZ,gX,gY,gZ,ts
1.104,0.856,-0.96,66.711,-10.254,146.362,0
1.185,1.077,-0.981,77.087,-21.667,147.522,0
1.338,1.291,-1.015,74.646,-42.908,139.038,0
1.493,1.484,-1.058,51.758,-72.021,115.967,0
1.621,1.556,-1.074,13.672,-102.051,81.055,0
1.768,1.576,-1.001,-27.344,-127.136,37.354,0
1.884,1.627,-0.855,-68.054,-143.677,-14.282,0
1.921,1.685,-0.689,-109.192,-156.25,-66.101,0
1.866,1.633,-0.534,-148.499,-167.236,-101.868,0
1.836,1.541,-0.402,-177.368,-175.049,-123.962,0
1.851,1.47,-0.285,-186.523,-183.289,-145.203,0
1.87,1.403,-0.154,-182.8,-186.096,-169.312,0
1.95,1.424,-0.015,-169.128,-177.429,-193.542,0
1.987,1.438,0.112,-153.809,-159.18,-214.172,0
1.938,1.403,0.183,-143.127,-135.132,-236.084,0
1.835,1.438,0.176,-133.179,-108.032,-265.503,0
1.661,1.403,0.198,-130.005,-83.496,-296.143,0
1.543,1.349,0.21,-132.751,-63.293,-334.045,0
1.393,1.28,0.187,-137.39,-50.232,-382.019,0
1.227,1.244,0.216,-139.221,-39.673,-417.908,0
1.101,1.251,0.249,-136.719,-24.78,-435.547,0
0.882,1.192,0.263,-136.536,-9.766,-449.89,0
0.773,1.181,0.245,-140.259,2.808,-469.177,0
0.588,1.162,0.27,-136.169,14.954,-459.961,0
0.538,0.928,0.285,-135.498,23.376,-444.519,0
0.358,0.704,0.283,-146.423,36.194,-492.249,0
0.37,0.811,0.283,-132.629,43.213,-517.334,0
0.19,0.799,0.35,-115.906,59.692,-491.272,0
0.098,0.668,0.365,-119.141,74.463,-480.713,0
0.302,0.767,0.205,-126.038,92.773,-475.22,0
0.015,0.391,0.188,-138.245,130.737,-454.468,0
-0.037,0.467,0.079,-153.137,152.954,-515.503,0
-0.087,0.566,0.137,-143.921,165.405,-493.286,0
-0.173,0.487,0.247,-162.781,185.913,-478.638,0
-0.223,0.336,0.385,-184.937,203.918,-462.891,0
-0.29,0.196,0.489,-194.214,220.154,-445.801,0
-0.42,0.088,0.532,-192.627,227.112,-432.556,0
-0.546,0.003,0.513,-180.908,215.21,-417.664,0
-0.606,-0.103,0.378,-169.25,188.721,-405.945,0
-0.604,-0.094,0.254,-151.978,162.231,-378.357,0
-0.584,-0.039,0.18,-143.311,140.381,-348.572,0
-0.73,-0.074,0.247,-146.606,128.54,-312.5,0
-0.838,-0.235,0.342,-156.189,104.187,-290.283,0
-0.829,-0.201,0.385,-147.156,79.59,-251.465,0
-0.776,-0.304,0.377,-137.878,73.181,-192.993,0
-1.033,-0.428,0.398,-135.925,64.514,-176.208,0
-1.026,-0.396,0.463,-119.568,40.894,-166.321,0
-1.127,-0.42,0.531,-105.347,26.917,-144.409,0
-1.188,-0.451,0.567,-94.36,8.911,-112.976,0
-1.157,-0.537,0.554,-82.642,-8.606,-74.89,0
-1.146,-0.571,0.516,-70.19,-15.564,-46.387,0
-1.173,-0.557,0.493,-58.594,-8.85,-22.034,0
-1.205,-0.56,0.461,-50.842,-0.549,1.831,0
-1.257,-0.532,0.476,-45.227,7.935,28.32,0
-1.146,-0.617,0.478,-45.166,20.447,66.589,0
-1.078,-0.747,0.453,-47.424,41.626,104.614,0
-1.091,-0.787,0.436,-41.321,67.749,145.203,0
-1.111,-0.767,0.418,-29.846,90.698,192.2,0
-1.105,-0.753,0.367,-19.958,105.408,240.112,0
-1.087,-0.742,0.289,-11.597,112.183,290.955,0
