aX,aY,aZ,gX,gY,gZ,ts
1.466,0.925,-0.656,-25.574,-113.77,-14.221,0
1.641,0.996,-0.701,-32.898,-138.123,-28.625,0
1.79,1.018,-0.645,-43.091,-159.363,-46.753,0
1.918,1.037,-0.588,-53.223,-173.462,-64.758,0
2.005,1.044,-0.523,-60.12,-180.176,-82.458,0
2.055,0.97,-0.434,-68.481,-180.786,-104.858,0
2.006,0.886,-0.348,-68.359,-178.223,-128.967,0
1.949,0.838,-0.294,-60.242,-179.321,-152.405,0
1.9,0.783,-0.228,-49.133,-187.866,-174.072,0
1.852,0.714,-0.151,-35.889,-200.012,-189.453,0
1.817,0.696,-0.057,-19.287,-210.144,-199.951,0
1.804,0.687,0.017,-2.869,-216.492,-205.811,0
1.801,0.673,0.052,13.55,-218.567,-212.769,0
1.797,0.675,0.075,29.846,-213.074,-224.365,0
1.754,0.684,0.094,45.227,-195.557,-239.685,0
1.673,0.699,0.131,57.312,-167.358,-254.456,0
1.518,0.72,0.148,66.101,-136.78,-267.029,0
1.381,0.718,0.192,70.19,-111.877,-278.87,0
1.27,0.747,0.209,73.486,-93.811,-288.452,0
1.094,0.742,0.225,75.989,-81.604,-292.664,0
0.912,0.656,0.253,75.073,-77.332,-297.119,0
0.777,0.591,0.264,76.05,-79.834,-303.467,0
0.69,0.567,0.273,79.468,-84.961,-312.988,0
0.589,0.546,0.251,84.595,-88.074,-319.397,0
0.504,0.533,0.235,87.708,-87.769,-324.585,0
0.439,0.475,0.225,87.585,-85.449,-327.82,0
0.331,0.401,0.204,87.28,-81.055,-327.881,0
0.227,0.272,0.205,87.952,-75.989,-321.228,0
0.151,0.149,0.203,93.872,-73.364,-317.017,0
0.13,-0.002,0.187,105.591,-76.172,-321.167,0
0.126,0.194,0.114,126.709,-63.599,-303.467,0
-0.052,0.119,0.078,129.395,-44.006,-265.991,0
-0.087,-0.008,0.055,115.784,-33.447,-257.568,0
-0.135,-0.041,0.037,109.863,-26.489,-246.338,0
-0.163,-0.098,0.03,102.722,-17.7,-233.643,0
-0.248,-0.217,0.026,93.933,-7.996,-218.689,0
-0.285,-0.311,0.031,89.294,-2.38,-197.937,0
-0.292,-0.38,0.027,92.957,-3.601,-173.035,0
-0.288,-0.454,0.017,99.487,-11.78,-151.001,0
-0.275,-0.493,-0.024,109.924,-22.461,-131.287,0
-0.231,-0.511,-0.076,121.826,-33.081,-108.398,0
-0.222,-0.51,-0.125,130.859,-41.016,-87.219,0
