aX,aY,aZ,gX,gY,gZ,ts
0.084,0.992,-1.838,360.596,-99.487,-42.664,0
0.193,1.083,-1.959,341.736,-146.912,-50.598,0
0.346,1.221,-2.049,325.684,-199.219,-64.27,0
0.522,1.323,-2.119,305.542,-257.141,-84.473,0
0.781,1.418,-2.199,281.921,-313.293,-104.858,0
1.021,1.453,-2.246,249.817,-356.628,-125.916,0
1.172,1.476,-2.235,210.144,-381.653,-142.883,0
1.17,1.368,-2.114,161.987,-392.334,-155.151,0
1.223,1.344,-1.976,114.746,-394.836,-169.556,0
1.058,1.159,-1.805,70.557,-394.531,-173.157,0
1.05,1.031,-1.66,27.039,-399.902,-196.35,0
0.943,0.934,-1.518,9.338,-401.855,-188.477,0
0.878,0.7,-1.426,-10.315,-399.902,-192.444,0
0.97,0.883,-1.208,-14.587,-391.296,-185.425,0
0.511,0.467,-1.02,-34.058,-386.597,-173.401,0
0.947,0.512,-0.995,-45.288,-401.672,-223.267,0
0.824,0.598,-0.923,-26.245,-390.625,-193.665,0
0.659,0.544,-0.756,-41.382,-376.343,-195.618,0
0.738,0.544,-0.651,-63.232,-374.695,-204.468,0
0.626,0.505,-0.583,-74.646,-356.873,-193.176,0
0.562,0.489,-0.503,-95.398,-332.886,-201.477,0
0.378,0.446,-0.406,-116.821,-313.477,-213.501,0
0.246,0.361,-0.292,-134.155,-307.129,-219.788,0
0.178,0.303,-0.2,-146.179,-309.509,-227.905,0
0.065,0.188,-0.096,-149.963,-312.195,-225.83,0
0.044,0.099,-0.013,-149.109,-321.167,-235.291,0
0.021,0.04,0.019,-136.536,-332.214,-237.671,0
0.038,0.011,0.06,-120.117,-340.21,-225.708,0
0.004,0.012,0.097,-105.286,-347.229,-209.351,0
-0.076,-0.011,0.139,-96.619,-353.699,-197.754,0
-0.122,-0.004,0.215,-90.637,-368.042,-186.34,0
-0.026,-0.05,0.272,-85.022,-393.738,-177.429,0
-0.016,-0.101,0.245,-79.651,-419.25,-184.509,0
-0.079,-0.081,0.226,-76.782,-438.904,-190.918,0
-0.061,0.006,0.3,-79.956,-451.355,-193.604,0
-0.123,-0.036,0.393,-89.783,-464.05,-195.129,0
-0.097,-0.097,0.409,-97.046,-469.421,-198.547,0
-0.017,-0.145,0.343,-93.933,-463.684,-190.002,0
-0.03,-0.078,0.315,-86.365,-453.552,-180.176,0
-0.025,0.043,0.255,-88.745,-447.51,-160.706,0
-0.006,0.122,0.21,-102.173,-430.359,-139.771,0
-0.063,0.22,0.286,-126.465,-414.307,-134.399,0
-0.011,0.243,0.47,-165.527,-397.705,-134.033,0
-0.038,0.235,0.505,-201.721,-347.412,-146.118,0
-0.094,0.282,0.507,-225.647,-285.156,-151.184,0
-0.172,0.237,0.643,-247.742,-248.535,-146.301,0
-0.183,0.129,0.863,-256.042,-221.313,-135.498,0
-0.207,0.198,1.137,-244.507,-180.359,-120.361,0
-0.132,0.29,1.485,-230.408,-140.808,-100.891,0
-0.07,0.317,1.857,-224.121,-120.667,-91.431,0
0.026,0.418,2.193,-215.393,-98.816,-83.862,0
0.067,0.417,2.538,-204.163,-63.538,-83.435,0
0.154,0.503,2.904,-180.176,-29.724,-83.923,0
0.167,0.523,3.139,-144.287,4.333,-81.787,0
0.16,0.563,3.227,-101.379,37.72,-87.341,0
0.247,0.524,3.243,-58.838,58.899,-89.233,0
0.38,0.446,3.17,-15.442,77.759,-88.745,0
0.556,0.384,3.006,29.785,106.384,-87.769,0
0.654,0.389,2.778,69.641,150.146,-89.6,0
0.728,0.361,2.589,97.778,202.637,-97.412,0
0.806,0.376,2.373,116.76,252.869,-111.45,0
0.842,0.422,2.117,124.939,303.711,-132.141,0
0.913,0.403,1.945,123.718,354.614,-150.94,0
0.877,0.356,1.821,116.089,406.067,-170.349,0
0.82,0.411,1.669,108.765,456.238,-195.923,0
0.715,0.484,1.496,100.342,495.85,-228.027,0
0.568,0.493,1.349,83.923,520.752,-259.46,0
0.42,0.455,1.215,65.247,535.034,-288.696,0
0.325,0.405,1.071,51.575,534.851,-311.279,0
0.209,0.393,0.953,40.649,522.217,-330.688,0
0.112,0.334,0.846,33.875,496.826,-337.524,0
0.027,0.219,0.763,26.978,463.074,-341.431,0
-0.097,0.228,0.705,23.01,431.641,-338.989,0
-0.298,0.187,0.651,18.188,396.24,-320.984,0
-0.52,0.053,0.621,11.719,355.164,-291.931,0
-0.64,-0.094,0.58,11.963,305.847,-253.357,0
-0.597,-0.255,0.643,19.348,253.296,-207.153,0
-0.552,-0.366,0.416,35.767,218.994,-156.494,0
-0.54,-0.194,0.259,56.396,171.814,-103.455,0
-0.505,-0.328,0.206,54.871,141.235,-60.608,0
-0.575,-0.227,0.192,58.167,123.596,-24.597,0
-0.566,-0.351,0.158,59.021,102.112,-4.944,0
-0.512,-0.419,0.094,66.895,78.064,11.963,0
-0.476,-0.384,0.014,75.073,68.909,25.33,0
-0.634,-0.378,-0.009,71.96,83.618,46.204,0
-0.737,-0.453,0.005,59.204,102.356,79.834,0
-0.715,-0.422,-0.042,52.368,108.459,135.071,0
-0.802,-0.757,-0.03,45.349,105.713,181.824,0
-0.684,-0.554,-0.073,49.866,105.103,180.908,0
-0.605,-0.453,-0.189,54.382,117.188,215.759,0
-0.544,-0.542,-0.267,44.861,129.517,250.916,0
-0.408,-0.354,-0.374,43.335,124.329,254.7,0
-0.124,-0.222,-0.494,44.922,95.52,253.113,0
0.081,-0.289,-0.539,37.292,51.147,233.093,0
0.517,0.441,-0.606,38.635,-14.343,189.758,0
1.189,0.452,-0.622,34.18,-73.364,210.632,0
1.621,0.72,-0.445,27.039,-73.669,239.563,1
1.984,0.773,-0.284,18.005,-50.781,232.483,1
2.2,1.067,-0.177,30.518,-18.86,207.458,1
2.473,1.282,-0.163,36.865,9.399,170.105,1
2.533,1.347,-0.175,39.673,21.973,127.197,1
2.396,1.433,-0.155,29.419,21.912,74.768,1
2.287,1.18,-0.162,17.273,10.071,53.345,1
2.08,0.889,-0.133,10.376,4.517,40.894,1
1.862,0.647,-0.15,11.597,-2.502,20.386,1
1.616,0.5,-0.184,15.747,-9.827,0.793,1
1.433,0.323,-0.188,19.653,-20.264,-10.498,1
1.36,0.223,-0.198,24.353,-31.555,-20.02,1
1.221,0.161,-0.21,29.724,-32.898,-14.16,1
1.183,0.146,-0.227,29.663,-30.884,-5.615,1
1.122,0.101,-0.219,23.926,-26.184,-4.028,1
1.078,0.125,-0.243,15.137,-19.897,-4.639,1
0.983,-0.071,-0.193,3.906,-7.69,-0.122,1
0.898,-0.036,-0.163,-7.08,-1.526,-13.306,1
0.879,-0.062,-0.146,-13.245,-0.916,-15.198,1
0.849,-0.076,-0.1,-16.541,2.747,-11.658,1
0.824,-0.102,-0.073,-15.32,4.211,-4.089,1
0.863,-0.081,-0.064,-12.451,4.456,-5.188,1
0.85,0.02,-0.065,-5.249,9.46,-0.793,1
-0.131,1.234,-1.682,346.497,15.747,-62.134,0
0.021,1.293,-2.107,298.462,-50.415,-77.515,0
0.227,1.281,-2.411,253.296,-110.84,-85.693,0
0.356,1.183,-2.601,221.619,-155.884,-80.811,0
0.494,1.122,-2.699,210.144,-197.266,-77.209,0
0.639,1.22,-2.752,220.825,-238.464,-74.951,0
0.81,1.333,-2.757,225.891,-275.391,-76.538,0
0.937,1.411,-2.724,212.219,-300.903,-81.177,0
0.969,1.422,-2.633,175.598,-312.256,-96.985,0
0.882,1.342,-2.444,132.507,-313.538,-107.544,0
0.785,1.218,-2.213,88.257,-321.838,-121.643,0
0.67,1.122,-1.995,47.485,-342.224,-140.442,0
0.708,0.961,-1.836,15.015,-370.911,-149.17,0
0.521,0.789,-1.538,-0.122,-397.888,-136.047,0
0.65,0.726,-1.363,-19.043,-431.946,-165.039,0
0.737,0.677,-1.188,-3.113,-448.242,-156.067,0
0.429,0.836,-0.985,2.625,-467.712,-140.808,0
0.701,0.443,-0.87,-6.042,-515.747,-98.816,0
0.802,0.223,-0.812,-9.338,-518.005,-153.32,0
0.813,0.542,-0.724,24.109,-488.22,-179.81,0
0.709,0.601,-0.644,28.992,-459.778,-164.856,0
0.638,0.394,-0.532,2.869,-435.425,-178.345,0
0.734,0.435,-0.473,-22.705,-414.124,-223.45,0
0.543,0.267,-0.399,-33.875,-390.015,-219.666,0
0.582,0.356,-0.301,-41.199,-360.901,-227.051,0
0.5,0.276,-0.242,-46.082,-347.9,-189.88,0
0.267,0.043,-0.154,-61.218,-336.914,-204.224,0
