aX,aY,aZ,gX,gY,gZ,ts
1.849,0.757,-0.476,56.946,-70.679,-55.969,0
1.988,0.802,-0.501,58.472,-94.91,-75.073,0
2.134,0.821,-0.481,57.007,-113.953,-94.116,0
2.219,0.784,-0.413,52.673,-122.742,-114.197,0
2.293,0.733,-0.348,54.077,-124.268,-132.629,0
2.349,0.718,-0.301,65.369,-121.094,-147.4,0
2.342,0.707,-0.304,82.825,-118.835,-158.875,0
2.297,0.714,-0.321,98.877,-118.347,-170.471,0
2.205,0.714,-0.303,106.75,-118.408,-187.622,0
2.171,0.731,-0.305,105.774,-113.281,-208.435,0
2.046,0.719,-0.268,96.924,-95.032,-230.347,0
1.81,0.661,-0.212,85.632,-68.237,-251.343,0
1.559,0.595,-0.153,80.078,-43.457,-264.526,0
1.353,0.56,-0.131,81.116,-25.818,-271.179,0
1.125,0.511,-0.16,81.726,-9.766,-275.024,0
0.917,0.459,-0.24,78.43,3.54,-277.405,0
0.65,0.404,-0.28,71.777,10.254,-284.729,0
0.502,0.351,-0.338,63.843,8.911,-290.1,0
0.351,0.326,-0.391,55.786,3.845,-293.457,0
0.222,0.294,-0.421,46.631,-1.404,-292.969,0
0.148,0.259,-0.449,36.621,-5.249,-289.673,0
-0.574,0.223,-0.54,25.574,-10.376,-285.706,0
0.603,0.131,-0.366,15.869,-33.081,-280.823,0
0.254,0.132,-0.702,2.014,-60.486,-265.991,0
-0.175,0.212,-0.418,0.061,-14.343,-247.498,0
-0.177,-0.029,-0.5,-10.803,-31.921,-237.427,0
-0.064,-0.012,-0.54,-23.071,-45.044,-255.127,0
-0.079,0.004,-0.557,-29.236,-41.138,-227.234,0
-0.061,-0.055,-0.554,-47.18,-33.081,-220.032,0
-0.143,-0.106,-0.543,-68.604,-24.963,-229.736,0
-0.234,-0.054,-0.49,-83.801,-17.639,-228.638,0
-0.233,-0.089,-0.446,-100.952,-15.32,-214.661,0
-0.22,-0.175,-0.407,-112.427,-11.536,-193.176,0
-0.324,-0.101,-0.347,-114.075,-6.287,-175.354,0
-0.287,-0.13,-0.347,-116.577,0.671,-140.442,1
-0.114,-0.241,-0.305,-131.165,11.169,-137.329,1
